task,method,dr,early_cos_mean_mean,early_neg_cos_frac_mean,final_acc_mean,count
mrpc,fedavg,0.6,0.0778616711807747,0.3333333333333333,0.7279411764705882,1
mrpc,fedavg,0.7,0.0437988351720074,0.3333333333333333,0.7230392156862745,1
mrpc,fedavg,0.8,0.0501926510284344,0.6666666666666666,0.7254901960784313,1
mrpc,fedavg,0.9,0.09871049597859378,0.3333333333333333,0.5946078431372549,5
mrpc,fedgeo,0.6,0.0778424263310929,0.3333333333333333,0.7279411764705882,1
mrpc,fedgeo,0.7,0.0429128732842703,0.3333333333333333,0.7352941176470589,1
mrpc,fedgeo,0.8,0.0480226750175158,0.6666666666666666,0.7254901960784313,1
mrpc,fedgeo,0.9,0.09614546172767095,0.3333333333333333,0.5931372549019607,5
sst2,fedavg,0.6,0.2654453801612059,0.0,0.8474770642201835,1
sst2,fedavg,0.7,0.2363122204939524,0.0,0.8348623853211009,1
sst2,fedavg,0.8,0.2028149391214052,0.0,0.8405963302752294,1
sst2,fedavg,0.9,0.1534324387709299,0.0,0.8360091743119266,1
sst2,fedgeo,0.6,0.2652455369631449,0.0,0.8463302752293578,1
sst2,fedgeo,0.7,0.235884686311086,0.0,0.8371559633027523,1
sst2,fedgeo,0.8,0.2017854899168014,0.0,0.8428899082568807,1
sst2,fedgeo,0.9,0.1510129819313685,0.0,0.8348623853211009,1
