Task,Method,Dominant Label Ratio,Eval Accuracy,Eval F1,Mean Cosine
MRPC,FedAvg,0.6,0.7279411764705882,0.7917448405253283,0.05277708172798157
MRPC,FedAvg,0.7,0.7230392156862745,0.8,-0.009375211782753468
MRPC,FedAvg,0.8,0.7254901960784313,0.8233438485804416,-0.02475801669061184
MRPC,FedAvg,0.9,0.7034313725490197,0.7803992740471869,-0.14562730491161346
MRPC,FedGeo v5b,0.6,0.7279411764705882,0.7917448405253283,0.05203511193394661
MRPC,FedGeo v5b,0.7,0.7352941176470589,0.8111888111888111,-0.008293963968753815
MRPC,FedGeo v5b,0.8,0.7254901960784313,0.8233438485804416,-0.030499188229441643
MRPC,FedGeo v5b,0.9,0.7156862745098039,0.7921146953405018,-0.15193799138069153
SST-2,FedAvg,0.6,0.8474770642201835,,0.0292575191706419
SST-2,FedAvg,0.7,0.8348623853211009,,0.010437432676553726
SST-2,FedAvg,0.8,0.8405963302752294,,0.009520921856164932
SST-2,FedAvg,0.9,0.8360091743119266,,-0.03965398669242859
SST-2,FedGeo v5b,0.6,0.8463302752293578,,0.02940278686583042
SST-2,FedGeo v5b,0.7,0.8371559633027523,,0.010840408504009247
SST-2,FedGeo v5b,0.8,0.8428899082568807,,0.011102392338216305
SST-2,FedGeo v5b,0.9,0.8348623853211009,,-0.03923364728689194
